Model_year,Make,Model,Vehicle_Class,Motor,Engine_Size,Cylinders,Transmission,Fuel_type_1,Consumption_comb(Le/100km),Range(km),Recharge_time(h),Fuel_type_2,Consumption_city(L/100km),Consumption_Hwy(L/100km),Consumption_comb(L/100km),Range_2(km),CO2_Emissions(g/km),CO2_Rating,Smog_Rating
2019,BMW,530e,Compact,83.0,2.0,4.0,AS8,B/Z*,3.3 ([28.5 kWh + 0.0 L]/100 km),26.0,2.0,Z,8.6,7.7,8.2,560.0,120.0,10.0,7.0
2019,BMW,530e xDrive,Compact,83.0,2.0,4.0,AS8,B/Z*,3.5 ([30.2 kWh + 0.0 L]/100 km),24.0,2.0,Z,8.8,7.7,8.3,554.0,124.0,10.0,7.0
2019,BMW,740e xDrive,Full-size,83.0,2.0,4.0,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23.0,3.0,Z,9.5,8.0,8.8,525.0,133.0,9.0,3.0
2019,BMW,i3 REx (120 Ah),Subcompact,125.0,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203.0,7.0,Z,7.8,7.5,7.7,116.0,14.0,10.0,7.0
2019,BMW,i3s REx (120 Ah),Subcompact,135.0,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203.0,7.0,Z,7.8,7.5,7.7,116.0,14.0,10.0,7.0
2019,BMW,i8 Coupe,Subcompact,105.0,1.5,3.0,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29.0,3.0,Z,9.2,8.0,8.7,488.0,118.0,10.0,3.0
2019,BMW,i8 Roadster,Two-seater,105.0,1.5,3.0,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29.0,3.0,Z,9.2,8.0,8.7,488.0,118.0,10.0,3.0
2019,Chevrolet,Volt,Compact,111.0,1.5,4.0,AV,B,2.2 (19.5 kWh/100 km),85.0,4.5,X,5.5,5.6,5.6,591.0,32.0,10.0,7.0
2019,Chrysler,Pacifica Hybrid,Minivan,89.0,3.6,6.0,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51.0,2.0,X,8.0,7.9,8.0,784.0,74.0,10.0,7.0
2019,Ford,Fusion Energi,Mid-size,35.0,2.0,4.0,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42.0,2.6,X,5.5,5.8,5.6,940.0,61.0,10.0,7.0
2019,Honda,Clarity Plug-in Hybrid,Mid-size,135.0,1.5,4.0,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77.0,2.5,X,5.3,5.9,5.6,475.0,36.0,10.0,8.0
2019,Hyundai,IONIQ Electric Plus,Mid-size,45.0,1.6,4.0,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47.0,2.3,X,4.4,4.6,4.5,961.0,46.0,10.0,7.0
2019,Hyundai,Sonata Plug-in Hybrid,Mid-size,50.0,2.0,4.0,AM6,B/X*,2.4 ([20.9 kWh + 0.0 L]/100 km),45.0,2.7,X,6.3,5.6,6.0,925.0,62.0,10.0,7.0
2019,Karma,Revero,Subcompact,300.0,2.0,4.0,A1,B,3.9 (34.7 kWh/100 km),60.0,3.75,Z,11.8,11.2,11.5,328.0,94.0,10.0,1.0
2019,Kia,Niro Plug-in Hybrid,Station wagon: Small,45.0,1.6,4.0,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42.0,2.25,X,4.9,5.3,5.1,853.0,56.0,10.0,7.0
2019,Kia,Optima Plug-in Hybrid,Mid-size,50.0,2.0,4.0,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47.0,2.7,X,6.2,5.5,5.9,937.0,60.0,10.0,7.0
2019,Mercedes-Benz,GLC 350e 4MATIC,SUV: Small,85.0,2.0,4.0,A7,B/Z*,4.2 ([36.5 kWh + 0.0 L]/100 km),21.0,1.9,Z,9.8,8.6,9.3,541.0,146.0,9.0,7.0
2019,MINI,Cooper SE Countryman ALL4,Mid-size,65.0,1.5,3.0,AS6,B/Z*,3.6 ([31.4 kWh + 0.0 L]/100 km),19.0,3.0,Z,8.4,8.8,8.6,420.0,139.0,9.0,3.0
2019,Mitsubishi,Outlander PHEV AWD,SUV: Small,60.0,2.0,4.0,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35.0,3.5,X,9.4,9.0,9.2,463.0,108.0,10.0,7.0
2019,Porsche,Cayenne E-Hybrid,SUV: Standard,99.0,3.0,6.0,AS8,B,5.1 (44.8 kWh/100 km),21.0,3.0,Z,11.8,10.5,11.2,669.0,177.0,7.0,3.0
2019,Porsche,Panamera 4 E-Hybrid,Full-size,70.0,2.9,6.0,AM8,B,4.6 (40.3 kWh/100 km),23.0,3.0,Z,11.1,9.7,10.5,768.0,158.0,8.0,5.0
2019,Porsche,Panamera Turbo S E-Hybrid,Full-size,70.0,4.0,8.0,AM8,B,4.9 (41.0 kWh/100 km),23.0,3.0,Z,12.3,10.6,11.5,695.0,180.0,7.0,3.0
2019,Toyota,Prius Prime,Mid-size,71.0,1.8,4.0,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40.0,2.0,X,4.3,4.4,4.3,995.0,49.0,10.0,7.0
2019,Volvo,S90 T8 AWD,Mid-size,65.0,2.0,4.0,AS8,B/Z*,3.2 ([27.7 kWh + 0.0 L]/100 km),34.0,3.0,Z,8.9,7.1,8.1,753.0,100.0,10.0,7.0
2019,Volvo,XC60 T8 AWD,SUV: Small,65.0,2.0,4.0,AS8,B/Z*,3.8 ([34.0 kWh + 0.0 L]/100 km),27.0,3.0,Z,9.5,8.5,9.0,779.0,128.0,9.0,7.0
2019,Volvo,XC90 T8 AWD,SUV: Standard,65.0,2.0,4.0,AS8,B/Z*,3.9 ([34.3 kWh + 0.0 L]/100 km),27.0,3.0,Z,9.8,8.7,9.3,756.0,132.0,9.0,7.0
2020,Audi,Q5 TFSIe,SUV: Small,105.0,2.0,4.0,AM7,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),32.0,2.4,Z,9.5,8.1,8.9,615.0,103.0,10.0,7.0
2020,Bentley,Bentayga Hybrid,SUV: Standard,100.0,3.0,6.0,AS8,B/Z,5.2 ([44.2 kWh + 0.3 L]/100 km),29.0,3.0,Z,13.6,11.3,12.6,602.0,153.0,8.0,3.0
2020,BMW,530e,Compact,83.0,2.0,4.0,AS8,B/Z*,3.4 ([29.1 kWh + 0.0 L]/100 km),34.0,3.0,Z,9.5,7.7,8.7,533.0,106.0,10.0,7.0
2020,BMW,530e xDrive,Compact,83.0,2.0,4.0,AS8,B/Z*,3.6 ([32.2 kWh + 0.0 L]/100 km),31.0,3.0,Z,10.3,8.1,9.3,500.0,120.0,10.0,7.0
2020,BMW,745Le xDrive,Full-size,83.0,3.0,6.0,AS8,B/Z*,4.2 ([37.7 kWh + 0.0 L]/100 km),26.0,3.0,Z,12.2,9.1,10.8,435.0,152.0,8.0,3.0
2020,BMW,i3 REx (120 Ah),Subcompact,125.0,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203.0,7.0,Z,7.8,7.5,7.7,116.0,14.0,10.0,7.0
2020,BMW,i3s REx (120 Ah),Subcompact,135.0,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203.0,7.0,Z,7.8,7.5,7.7,116.0,14.0,10.0,7.0
2020,BMW,i8 Coupe,Subcompact,105.0,1.5,3.0,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29.0,3.0,Z,9.2,8.0,8.7,488.0,118.0,10.0,3.0
2020,BMW,i8 Roadster,Two-seater,105.0,1.5,3.0,AS6,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),29.0,3.0,Z,9.2,8.0,8.7,488.0,118.0,10.0,3.0
2020,BMW,X3 xDrive30e,SUV: Small,80.0,2.0,4.0,AS8,B/Z*,3.9 ([35.0 kWh + 0.0 L]/100 km),29.0,3.0,Z,11.0,8.6,9.9,512.0,127.0,9.0,7.0
2020,Chrysler,Pacifica Hybrid,Minivan,89.0,3.6,6.0,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51.0,2.0,X,8.0,7.9,8.0,784.0,74.0,10.0,7.0
2020,Ford,Escape Plug-in Hybrid,SUV: Small,62.0,2.5,4.0,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),60.0,3.3,X,5.4,6.2,5.8,790.0,48.0,10.0,7.0
2020,Ford,Fusion Energi,Mid-size,35.0,2.0,4.0,AV,B/X*,2.3 ([20.5 kWh + 0.0 L]/100 km),42.0,2.6,X,5.5,5.8,5.6,940.0,61.0,10.0,7.0
2020,Honda,Clarity Plug-in Hybrid,Mid-size,135.0,1.5,4.0,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77.0,2.5,X,5.3,5.9,5.6,475.0,36.0,10.0,8.0
2020,Hyundai,IONIQ Electric Plus,Mid-size,45.0,1.6,4.0,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47.0,2.3,X,4.4,4.6,4.5,961.0,46.0,10.0,7.0
2020,Kia,Niro Plug-in Hybrid,Station wagon: Small,45.0,1.6,4.0,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42.0,2.25,X,4.9,5.3,5.1,853.0,56.0,10.0,7.0
2020,Kia,Optima Plug-in Hybrid,Mid-size,50.0,2.0,4.0,AM6,B/X*,2.3 ([20.7 kWh + 0.0 L]/100 km),45.0,2.7,X,6.0,5.3,5.7,962.0,60.0,10.0,7.0
2020,Lincoln,Aviator Grand Touring,SUV: Standard,62.0,3.0,6.0,AS10,B/X*,4.2 ([37.5 kWh + 0.0 L]/100 km),34.0,3.5,X,10.9,9.6,10.3,713.0,130.0,9.0,7.0
2020,Mercedes-Benz,GLC 350e 4MATIC,SUV: Small,90.0,2.0,4.0,A9,B/Z*,3.4 ([30.8 kWh + 0.0 L]/100 km),35.0,1.3,Z,10.2,8.4,9.4,538.0,109.0,10.0,5.0
2020,Mercedes-Benz,S 560e,Full-size,90.0,3.0,6.0,A9,B/Z*,3.7 ([32.7 kWh + 0.0 L]/100 km),31.0,1.3,Z,11.4,9.0,10.3,785.0,127.0,9.0,3.0
2020,MINI,Cooper SE Countryman ALL4,Mid-size,65.0,1.5,3.0,AS6,B/Z*,3.2 ([28.6 kWh + 0.0 L]/100 km),29.0,3.0,Z,8.1,7.9,8.0,451.0,109.0,10.0,3.0
2020,Mitsubishi,Outlander PHEV AWD,SUV: Small,60.0,2.0,4.0,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35.0,3.5,X,9.4,9.0,9.2,463.0,108.0,10.0,7.0
2020,Porsche,Panamera 4 E-Hybrid,Full-size,70.0,2.9,6.0,AM8,B,4.6 (40.3 kWh/100 km),23.0,3.0,Z,11.1,9.7,10.5,768.0,158.0,8.0,5.0
2020,Porsche,Panamera Turbo S E-Hybrid,Full-size,70.0,4.0,8.0,AM8,B,4.9 (41.0 kWh/100 km),23.0,3.0,Z,12.3,10.6,11.5,695.0,180.0,7.0,3.0
2020,Subaru,Crosstrek Hybrid AWD,SUV: Small,100.0,2.0,4.0,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27.0,2.0,X,6.6,6.8,6.7,747.0,94.0,10.0,6.0
2020,Toyota,Prius Prime,Mid-size,71.0,1.8,4.0,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40.0,2.0,X,4.3,4.4,4.3,995.0,49.0,10.0,7.0
2020,Volvo,S60 T8 AWD,Compact,65.0,2.0,4.0,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35.0,3.0,Z,8.4,7.0,7.8,781.0,94.0,10.0,7.0
2020,Volvo,S90 T8 AWD,Mid-size,65.0,2.0,4.0,AS8,B/Z,3.7 ([31.4 kWh + 0.2 L]/100 km),34.0,3.0,Z,8.3,7.5,7.9,761.0,99.0,10.0,7.0
2020,Volvo,V60 T8 AWD,Station wagon: Small,65.0,2.0,4.0,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35.0,3.0,Z,8.4,7.0,7.8,781.0,94.0,10.0,7.0
2020,Volvo,XC60 T8 AWD,SUV: Small,65.0,2.0,4.0,AS8,B/Z*,4.2 ([38.2 kWh + 0.0 L]/100 km),27.0,3.0,Z,9.5,8.7,9.1,781.0,128.0,9.0,7.0
2020,Volvo,XC90 T8 AWD,SUV: Standard,65.0,2.0,4.0,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29.0,3.0,Z,9.1,8.4,8.8,813.0,120.0,10.0,7.0
2021,Audi,A7 Sportback 55 TFSI e quattro,Mid-size,105.0,2.0,4.0,AM7,B/Z,3.5 ([28.7 kWh + 0.2 L]/100 km),39.0,2.4,Z,8.9,7.0,8.1,668.0,87.0,10.0,7.0
2021,Audi,A8 L Sedan 60 TFSI e quattro,Full-size,100.0,3.0,6.0,AS8,B/Z*,4.4 ([39.2 kWh + 0.0 L]/100 km),29.0,2.4,Z,11.3,9.1,10.3,639.0,132.0,8.0,3.0
2021,Audi,Q5 55 TFSI e quattro,SUV: Small,105.0,2.0,4.0,AM7,B/Z,4.7 ([27.5 kWh + 1.5 L]/100 km),31.0,2.4,Z,9.3,8.2,8.8,608.0,103.0,10.0,7.0
2021,Bentley,Bentayga Hybrid,SUV: Standard,100.0,3.0,6.0,AS8,B/Z*,5.1 ([45.5 kWh + 0.0 L]/100 km),29.0,3.0,Z,13.9,11.2,12.7,599.0,159.0,7.0,3.0
2021,BMW,330e,Compact,83.0,2.0,4.0,AS8,B/Z*,3.1 ([27.8 kWh + 0.0 L]/100 km),37.0,3.0,Z,9.4,7.2,8.4,486.0,100.0,10.0,3.0
2021,BMW,330e xDrive,Compact,83.0,2.0,4.0,AS8,B/Z*,3.5 ([31.5 kWh + 0.0 L]/100 km),32.0,3.0,Z,10.7,7.9,9.4,436.0,119.0,9.0,3.0
2021,BMW,530e,Mid-size,83.0,2.0,4.0,AS8,B/Z,3.7 ([30.3 kWh + 0.2 L]/100 km),34.0,3.0,Z,9.6,8.0,8.9,520.0,111.0,9.0,7.0
2021,BMW,530e xDrive,Mid-size,83.0,2.0,4.0,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31.0,3.0,Z,10.5,8.4,9.5,486.0,126.0,9.0,7.0
2021,BMW,745Le xDrive,Full-size,83.0,3.0,6.0,AS8,B/Z*,4.2 ([37.4 kWh + 0.0 L]/100 km),27.0,3.0,Z,12.2,9.1,10.8,435.0,152.0,8.0,3.0
2021,BMW,i3 REx (120 Ah),Subcompact,125.0,0.6,2.0,A1,B,2.4 (19.9 kWh/100 km),203.0,7.0,Z,7.8,7.5,7.7,116.0,14.0,10.0,7.0
